pr,"	Year", Month, Country, ISO3, ISO2
29.8744,1961,1,USA,,
52.7065,1961,2,USA,,
59.5436,1961,3,USA,,
48.6108,1961,4,USA,,
57.4379,1961,5,USA,,
65.1887,1961,6,USA,,
75.6644,1961,7,USA,,
64.956,1961,8,USA,,
73.6191,1961,9,USA,,
43.1699,1961,10,USA,,
53.0573,1961,11,USA,,
54.0145,1961,12,USA,,
46.683,1962,1,USA,,
50.4666,1962,2,USA,,
44.5856,1962,3,USA,,
40.9859,1962,4,USA,,
57.3677,1962,5,USA,,
71.1779,1962,6,USA,,
67.8857,1962,7,USA,,
53.5856,1962,8,USA,,
61.9742,1962,9,USA,,
49.1522,1962,10,USA,,
39.7842,1962,11,USA,,
33.992,1962,12,USA,,
37.0937,1963,1,USA,,
35.4907,1963,2,USA,,
55.1892,1963,3,USA,,
47.1911,1963,4,USA,,
49.2376,1963,5,USA,,
66.723,1963,6,USA,,
67.2618,1963,7,USA,,
65.0642,1963,8,USA,,
49.7524,1963,9,USA,,
26.7217,1963,10,USA,,
49.8415,1963,11,USA,,
33.4561,1963,12,USA,,
45.9121,1964,1,USA,,
36.8715,1964,2,USA,,
55.6388,1964,3,USA,,
66.4821,1964,4,USA,,
48.8951,1964,5,USA,,
63.0721,1964,6,USA,,
58.9061,1964,7,USA,,
67.3066,1964,8,USA,,
55.0095,1964,9,USA,,
32.0581,1964,10,USA,,
48.8742,1964,11,USA,,
61.2311,1964,12,USA,,
46.5812,1965,1,USA,,
42.9079,1965,2,USA,,
46.6569,1965,3,USA,,
52.4509,1965,4,USA,,
57.723,1965,5,USA,,
69.875,1965,6,USA,,
64.8352,1965,7,USA,,
71.3224,1965,8,USA,,
84.2159,1965,9,USA,,
34.741,1965,10,USA,,
44.1598,1965,11,USA,,
46.3429,1965,12,USA,,
44.0298,1966,1,USA,,
46.7541,1966,2,USA,,
34.3204,1966,3,USA,,
47.4533,1966,4,USA,,
46.8062,1966,5,USA,,
50.0325,1966,6,USA,,
58.3501,1966,7,USA,,
72.6688,1966,8,USA,,
54.5348,1966,9,USA,,
39.4145,1966,10,USA,,
44.192,1966,11,USA,,
49.595,1966,12,USA,,
42.5607,1967,1,USA,,
30.2955,1967,2,USA,,
42.3664,1967,3,USA,,
56.9882,1967,4,USA,,
59.0615,1967,5,USA,,
78.8192,1967,6,USA,,
71.7609,1967,7,USA,,
62.9248,1967,8,USA,,
54.2601,1967,9,USA,,
47.6543,1967,10,USA,,
40.6329,1967,11,USA,,
62.1422,1967,12,USA,,
44.441,1968,1,USA,,
31.4801,1968,2,USA,,
42.2608,1968,3,USA,,
49.2687,1968,4,USA,,
