tas,"	Year", Month, Country, ISO3, ISO2
-5.2146,1961,1,USA,,
-3.214,1961,2,USA,,
-0.1508,1961,3,USA,,
4.52072,1961,4,USA,,
11.8612,1961,5,USA,,
17.5741,1961,6,USA,,
19.6138,1961,7,USA,,
19.1491,1961,8,USA,,
14.1179,1961,9,USA,,
7.45073,1961,10,USA,,
-0.3888,1961,11,USA,,
-6.746,1961,12,USA,,
-7.0463,1962,1,USA,,
-2.6523,1962,2,USA,,
-1.527,1962,3,USA,,
6.31371,1962,4,USA,,
12.6232,1962,5,USA,,
16.9137,1962,6,USA,,
19.5225,1962,7,USA,,
19.1672,1962,8,USA,,
14.0312,1962,9,USA,,
9.16954,1962,10,USA,,
1.32041,1962,11,USA,,
-4.1039,1962,12,USA,,
-7.223,1963,1,USA,,
-3.4984,1963,2,USA,,
0.73144,1963,3,USA,,
6.23239,1963,4,USA,,
12.7292,1963,5,USA,,
16.9257,1963,6,USA,,
19.8842,1963,7,USA,,
18.8043,1963,8,USA,,
15.5003,1963,9,USA,,
10.0947,1963,10,USA,,
0.16493,1963,11,USA,,
-5.4003,1963,12,USA,,
-5.6533,1964,1,USA,,
-5.1741,1964,2,USA,,
-2.2884,1964,3,USA,,
5.42876,1964,4,USA,,
11.9161,1964,5,USA,,
16.9648,1964,6,USA,,
20.3746,1964,7,USA,,
18.2637,1964,8,USA,,
14.1674,1964,9,USA,,
8.12354,1964,10,USA,,
0.70317,1964,11,USA,,
-6.6663,1964,12,USA,,
-5.9084,1965,1,USA,,
-6.0068,1965,2,USA,,
-0.9698,1965,3,USA,,
6.56086,1965,4,USA,,
11.833,1965,5,USA,,
16.1492,1965,6,USA,,
19.2919,1965,7,USA,,
18.2383,1965,8,USA,,
13.6176,1965,9,USA,,
7.39885,1965,10,USA,,
2.1267,1965,11,USA,,
-3.7588,1965,12,USA,,
-8.4257,1966,1,USA,,
-5.2771,1966,2,USA,,
-0.6574,1966,3,USA,,
5.0957,1966,4,USA,,
11.5729,1966,5,USA,,
17.103,1966,6,USA,,
20.5061,1966,7,USA,,
18.235,1966,8,USA,,
14.7389,1966,9,USA,,
7.31296,1966,10,USA,,
1.18495,1966,11,USA,,
